DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20170428,110000,125.5100000,125.7300000,125.1100000,125.3300000,389200
20170428,120000,125.4200000,125.6800000,125.0200000,125.3800000,268800
20170428,130000,125.3700000,125.4300000,124.8100000,125.1200000,210100
20170428,140000,125.0700000,126.4000000,125.0700000,126.0100000,920500
20170428,150000,126.0200000,126.1700000,125.0000000,126.0900000,701700
20170428,160000,126.0900000,126.6100000,126.0500000,126.4000000,397000
20170428,170000,126.3900000,126.7600000,126.1000000,126.6700000,1085500
20170428,180000,126.6500000,126.9000000,126.1900000,126.3400000,586400
20170428,190000,126.3500000,126.3500000,125.8000000,125.8200000,749000
20170502,110000,126.4600000,128.1300000,125.8700000,127.8100000,921000
20170502,120000,127.8700000,128.5500000,127.8400000,128.2200000,999900
20170502,130000,128.2200000,128.5200000,128.0000000,128.2000000,430800
20170502,140000,128.2100000,128.8500000,128.1600000,128.7900000,358500
20170502,150000,128.8000000,129.1000000,128.6300000,128.9300000,617900
20170502,160000,128.9400000,129.0000000,128.3100000,128.7500000,434600
20170502,170000,128.7600000,129.1500000,128.5500000,129.0500000,444800
20170502,180000,129.0600000,129.0900000,128.2300000,128.5200000,580500
20170502,190000,128.5300000,128.8600000,128.2500000,128.5800000,361200
20170503,110000,128.5000000,128.5000000,126.3500000,126.3500000,959100
20170503,120000,126.4100000,127.1100000,126.0200000,126.9300000,477800
20170503,130000,126.9000000,127.2600000,126.6000000,126.6900000,295400
20170503,140000,126.6200000,127.0300000,126.5300000,126.7700000,195700
20170503,150000,126.7800000,127.2200000,126.6400000,126.6900000,168800
20170503,160000,126.6500000,126.9300000,126.5200000,126.8100000,142400
20170503,170000,126.7700000,126.8600000,126.2100000,126.7700000,375000
20170503,180000,126.7700000,127.7600000,126.2300000,127.2700000,669600
20170503,190000,127.3300000,127.4000000,127.0000000,127.2500000,382900
20170504,110000,127.4800000,127.9900000,126.6000000,127.5100000,730200
20170504,120000,127.5800000,128.4100000,127.5000000,128.2200000,519700
20170504,130000,128.2800000,128.8400000,128.2500000,128.3200000,342400
20170504,140000,128.3000000,128.4600000,127.7300000,128.4200000,332200
20170504,150000,128.3500000,128.7000000,128.0900000,128.1000000,194900
20170504,160000,128.1000000,128.1000000,127.1100000,127.2600000,221000
20170504,170000,127.2600000,127.4600000,126.7500000,126.7500000,310800
20170504,180000,126.7500000,127.0800000,126.5600000,127.0800000,1016400
20170504,190000,127.0300000,127.3200000,126.7000000,126.7000000,458600
